muestra;organismos;porcentage;Alterado;ASV;otu
M2_1;Arcellinida;0;;0;0
M2_1;Diatomea;0.854926402333908;;;
M2_1;other;0.145073597666092;;;
M2_2;Arcellinida;0.00630278583133745;;0;0
M2_2;Diatomea;0.487079289045758;;;
M2_2;other;0.506617925122904;;;
M3_1;Arcellinida;0.239097744360902;;2;1
M3_1;Diatomea;0.559398496240601;;;
M3_1;other;0.201503759398496;;;
M3_2;Arcellinida;0.0619570562202918;;2;2
M3_2;Diatomea;0.567939682019341;;;
M3_2;other;0.370103261760367;;;
M4_1;Arcellinida;0.00234654810423614;;0;0
M4_1;Diatomea;0.230826231937755;;;
M4_1;other;0.766827219958009;;;
M4_2;Arcellinida;0.00250885478158205;;0;0
M4_2;Diatomea;0.753394332939788;;;
M4_2;other;0.24409681227863;;;
M5_1;Arcellinida;0;;0;0
M5_1;Diatomea;0.822740422547559;;;
M5_1;other;0.177259577452441;;;
M5_2;Arcellinida;0.000204624514016779;;0;0
M5_2;Diatomea;0.80683445876816;;;
M5_2;other;0.192960916717823;;;
M6_1;Arcellinida;0.0674960815047022;;2;2
M6_1;Diatomea;0.0787617554858934;;;
M6_1;other;0.853742163009404;;;
M6_2;Arcellinida;0.130783758262512;;1;1
M6_2;Diatomea;0.0743626062322946;;;
M6_2;other;0.794853635505194;;;
M7_1;Arcellinida;0.0586672570290016;;2;2
M7_1;Diatomea;0.814589329200797;;;
M7_1;other;0.126743413770201;;;
M7_2;Arcellinida;0.00869676429210896;;1;1
M7_2;Diatomea;0.953190945133649;;;
M7_2;other;0.0381122905742422;;;
M8_1;Arcellinida;0.502040454222853;;6;5
M8_1;Diatomea;0.409687721788502;;;
M8_1;other;0.0882718239886444;;;
M8_2;Arcellinida;0.0484699836486802;;3;2
M8_2;Diatomea;0.550922681616445;;;
M8_2;other;0.400607334734875;;;
M9_1;Arcellinida;0.00481335952848723;;0;0
M9_1;Diatomea;0.946561886051081;;;
M9_1;other;0.0486247544204322;;;
M9_2;Arcellinida;0.0219025401762571;;0;0
M9_2;Diatomea;0.926775531363401;;;
M9_2;other;0.0513219284603421;;;
Suiza3;Arcellinida;0.0657303791309555;;1;1
Suiza3;Diatomea;0.40981137018601;;;
Suiza3;other;0.524458250683035;;;
